ACTURSCI,Actuarial Sciences 
AMERICAN,American Studies 
ANATCELL,Anatomy and Cell Biology 
ANTHRO,Anthropology 
APPLMATH,Applied Mathematics 
ARABIC,Arabic 
ARTHUM,Arts and Humanities 
ASTRONOM,Astronomy 
BIBLSTUD,Biblical Studies 
BIOCHEM,Biochemistry 
BIOLOGY,Biology 
BIOSTATS,Biostatistics 
MTP-TVSN,Broadcasting-TV Fanshawe 
BUSINESS,Business Administration 
CALCULUS,Calculus 
CGS,Centre for Global Studies 
CBE,Chem & Biochem Engineering 
CHEMBIO,Chemical Biology 
CHEM,Chemistry 
CSI,Childhood & Social Institutns 
CHINESE,Chinese 
CHURCH,Church History 
CHURLAW,Church Law 
CEE,Civil & Envrnmntl Engineering 
CLASSICS,Classical Studies 
CMBPROG,Combined Program Enrollment 
COMMSCI,Communication Sci & Disorders 
COMPLIT,Comparative Lit & Culture 
COMPSCI,Computer Science 
DANCE,Dance 
DIGICOMM,Digital Communication 
DIGIHUM,Digital Humanities 
DOL,Dimensions of Leadership 
DISABST,Disability Studies 
EARTHSCI,Earth Sciences 
ECONOMIC,Economics 
EDUC,Education 
EELC,Education English Language Cen 
ECE,Elect & Computer Engineering 
ENGSCI,Engineering 
ENGLISH,English 
ENVIRSCI,Environmental Science 
EPID,Epidemiology 
FAMLYSTU,Family Studies 
FLDEDUC,Field Education 
FILM,Film Studies 
FINMOD,Financial Modelling 
FRSTNATN,First Nations Studies 
FOODNUTR,Foods and Nutrition 
FRENCH,French 
GEOGRAPH,Geography 
GERMAN,German 
GREEK,Greek 
GPE" selected > Green Process Engineering 
HEALTSCI,Health Sciences 
HEBREW,Hebrew 
HINDI,Hindi 
HISTTHEO,Historical Theology 
HISTORY,History 
HISTSCI,History of Science 
HOMILET,Homiletics 
HUMANECO,Human Ecology 
INTERDIS,Interdisciplinary 
INTREL,International Relations 
ITALIAN,Italian 
JAPANESE,Japanese 
JEWISH,Jewish Studies 
MTP-BRJR,Journalism-Broadcasting Fanshw 
KINESIOL,Kinesiology 
KOREAN,Korean 
LATIN,Latin 
LAW,Law 
LINGUIST,Linguistics 
LITURST,Liturgical Studies 
LITURGIC,Liturgics 
MOS,Management & Organizational St 
MTP-MKTG,Marketing - Fanshawe 
MATH,Mathematics 
MME,Mech & Materials Engineering 
MSE,Mechatronic Systems Engineerin 
MIT,Media, Information &Technocult 
MEDBIO,Medical Biophysics 
MEDHINFO,Medical Health Informatics 
MEDSCIEN,Medical Science 
MEDIEVAL,Medieval Studies 
MICROIMM,Microbiology & Immunology 
MORALTHE,Moral Theology 
MTP-MMED,Multimed Dsgn & Prod Fanshawe 
MUSIC,Music 
NEURO,Neuroscience 
NURSING,Nursing 
PASTTHEO,Pastoral Theology 
PATHOL,Pathology 
PATHTOX,Pathology & Toxicology 
PERSIAN,Persian 
PHARM,Pharmacology 
PHILST,Philosophical Studies 
PHILOSOP,Philosophy 
PHYSICS,Physics 
PHYSIOL,Physiology 
POLISCI,Political Science 
PORTUGSE,Portuguese 
PSYCHOL,Psychology 
REHABSCI,Rehabilitation Sciences 
RELEDUC,Religious Education 
RELSTUD,Religious Studies 
RUSSIAN,Russian 
SACRTHEO,Sacramental Theology 
SCHOLARS,Scholars' Elective 
SCIENCE,Science 
SOCLJUST,Social Justice & Peace Studies 
SOCWORK,Social Work 
SOCIOLOG,Sociology 
SE,Software Engineering 
SPANISH,Spanish 
SPEECH,Speech 
SPIRTHEO,Spiritual Theology 
STATS,Statistical Sciences 
SYSTHEO,Systematic Theology 
THANAT,Thanatology 
THEATRE,Theatre Studies 
THEOETH,Theological Ethics 
THEOLST,Theological Studies 
THESIS,Thesis 
TJ,Transitional Justice 
VAHISTRY,Visual Arts History 
VASTUDIO,Visual Arts Studio 
WTC,Western Thought & Civilization 
WOMENST,Women's Studies 
WRITING,Writing 
